Bankleitzahl;Merkmal;Bezeichnung;PLZ;Ort;Kurzbezeichnung;PAN;BIC;Prüfzifferberechnungsmethode;Datensatznummer;Änderungskennzeichen;Bankleitzahllöschung;Nachfolge-Bankleitzahl
"79090000";"1";"Volksbank Raiffeisenbank Würzburg";"97070";"Würzburg";"VR-Bank Würzburg";"97028";"GENODEF1WU1";"88";"022435";"U";"0";"00000000"
"79161058";"1";"Raiffeisenbank Fränkisches Weinland -alt-";"97334";"Nordheim a. Main";"Raiffbk Fränkis.Weinla-alt-";"67044";"GENODEF1ERN";"88";"024810";"U";"0";"00000000"
"79161499";"1";"Raiffeisenbank Kitzinger Land -alt-";"97342";"Obernbreit";"Raiffbk Kitzinger Land-alt-";"67064";"GENODEF1OBR";"88";"024625";"U";"0";"00000000"
"79190000";"1";"VR Bank Kitzingen";"97318";"Kitzingen";"VR Bank Kitzingen";"97029";"GENODEF1KT1";"88";"022209";"U";"0";"00000000"
"79320075";"1";"UniCredit Bank - HypoVereinsbank";"97408";"Schweinfurt";"UniCredit Bank-HypoVereinbk";"22081";"HYVEDEMM451";"99";"000143";"U";"0";"00000000"
"79330111";"1";"Bankhaus Max Flessa";"97421";"Schweinfurt";"FLESSABANK Schweinfurt";"99058";"FLESDEMMXXX";"09";"000033";"U";"0";"00000000"
"79340054";"1";"Commerzbank Schweinfurt";"97421";"Schweinfurt";"Commerzbank Schweinfurt";"24770";"COBADEFFXXX";"13";"010258";"U";"0";"00000000"
"79350000";"1";"Städtische Sparkasse Schweinfurt -alt-";"97410";"Schweinfurt";"Städt.Spk Schweinfurt -alt-";"57230";"BYLADEM1SSW";"00";"008608";"U";"0";"00000000"
"79350101";"1";"Sparkasse Schweinfurt-Haßberge";"97410";"Schweinfurt";"Spk Schweinfurt-Haßberge";"57281";"BYLADEM1KSW";"00";"007823";"U";"0";"00000000"
"79351010";"1";"Sparkasse Bad Kissingen";"97688";"Bad Kissingen";"Spk Bad Kissingen";"57291";"BYLADEM1KIS";"00";"011053";"M";"0";"00000000"
"79351730";"1";"Sparkasse Ostunterfranken -alt-";"97432";"Haßfurt";"Spk Ostunterfranken -alt-";"57285";"BYLADEM1HAS";"00";"011291";"U";"0";"00000000"
"79353090";"1";"Sparkasse Bad Neustadt a d Saale";"97615";"Bad Neustadt a.d.Saale";"Spk Bad Neustadt a d Saale";"57283";"BYLADEM1NES";"00";"010913";"U";"0";"00000000"
"79362081";"1";"VR-MainBank";"97447";"Gerolzhofen";"VR-MainBank";"68073";"GENODEF1GZH";"88";"026651";"U";"0";"00000000"
"79363016";"1";"Volksbank Raiffeisenbank Rhön-Grabfeld -alt-";"97607";"Bad Neustadt a.d.Saale";"VR-Bank Rhön-Grabfeld -alt-";"67106";"GENODEF1NDT";"88";"027351";"U";"0";"00000000"
"79363151";"1";"Raiffeisen-Volksbank Haßberge";"97437";"Haßfurt";"Raiff-VB Haßberge";"68043";"GENODEF1HAS";"88";"027540";"U";"0";"00000000"
"79364069";"1";"Raiffeisenbank Frankenwinheim und Umgebung -alt-";"97447";"Frankenwinheim";"Raiffbk Frankenwinheim-alt-";"68082";"GENODEF1FWH";"88";"027443";"U";"0";"00000000"
"79380051";"1";"Commerzbank vormals Dresdner Bank";"97408";"Schweinfurt";"Commerzbank Schweinfurt";"28793";"DRESDEFF793";"76";"006766";"U";"0";"00000000"
"79520070";"1";"UniCredit Bank - HypoVereinsbank";"63701";"Aschaffenburg";"UniCredit Bank-HypoVereinbk";"22006";"HYVEDEMM407";"99";"000145";"U";"0";"00000000"
"79540049";"1";"Commerzbank";"63707";"Aschaffenburg";"Commerzbank Aschaffenburg";"24501";"COBADEFFXXX";"13";"011257";"U";"0";"00000000"
"79550000";"1";"Sparkasse Aschaffenburg Miltenberg";"63739";"Aschaffenburg";"Spk AschaffenburgMiltenberg";"57215";"BYLADEM1ASA";"00";"011048";"M";"0";"00000000"
"79561348";"1";"Raiffeisenbank Bachgau -alt-";"63762";"Großostheim";"Raiffbk Bachgau -alt-";"67055";"GENODEF1BAG";"88";"024626";"U";"0";"00000000"
"79562514";"1";"Raiffeisen-Volksbank Aschaffenburg";"63704";"Aschaffenburg";"RV-Bank Aschaffenburg";"67098";"GENODEF1AB1";"88";"024439";"U";"0";"00000000"
"79565568";"1";"Raiffeisenbank Waldaschaff-Heigenbrücken -alt-";"63857";"Waldaschaff";"Raiffbk Waldaschaff -alt-";"68020";"GENODEF1WAA";"88";"025003";"U";"0";"00000000"
